epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.252,1.17823,1.36605,1.23847,0.66898,0.61498,0.6632,0.50465,1.0564,1.00229,1.0914,0.0015,0.0015,0.0865
2,105.21,1.13973,1.25591,1.1602,0.69573,0.58881,0.67744,0.50839,1.03933,0.99391,1.07348,0.0027931,0.0027931,0.0717931
3,155.669,1.14192,1.19195,1.14018,0.65368,0.61405,0.67221,0.50209,1.01738,1.04657,1.06326,0.0037694,0.0037694,0.0567694
4,205.899,1.12479,1.15634,1.15868,0.62944,0.64923,0.69373,0.51297,1.03011,1.02273,1.06289,0.0044289,0.0044289,0.0414289
5,256.527,1.0903,1.15909,1.12914,0.75795,0.64303,0.73352,0.5346,1.0277,0.95618,1.06298,0.0047716,0.0047716,0.0257716
6,308.107,1.09642,1.15906,1.13036,0.76645,0.59775,0.7104,0.52151,1.0373,1.01041,1.08243,0.0047975,0.0047975,0.0097975
7,358.375,1.07991,1.05228,1.14719,0.76703,0.63825,0.74668,0.56112,0.99752,0.91341,1.05373,0.00406,0.00406,0.00406
8,409.122,1.03136,0.97027,1.11176,0.74985,0.67856,0.7572,0.57414,0.98475,0.87682,1.03979,0.00307,0.00307,0.00307
9,459.845,0.9938,0.95924,1.09207,0.73382,0.6858,0.75498,0.57894,0.96827,0.86651,1.02816,0.00208,0.00208,0.00208
10,510.135,1.01481,0.94374,1.08502,0.80211,0.67678,0.78721,0.60447,0.94111,0.83422,1.00877,0.00109,0.00109,0.00109
