epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5238,1.58248,2.40594,1.42341,0.34479,0.01259,0.00565,0.00316,2.31675,11.6239,2.0703,0.0006,0.0006,0.0856
2,150.771,1.84056,3.01332,1.69878,0.33414,0.0412,0.01591,0.0091,2.19369,6.14861,2.29751,0.00122821,0.00122821,0.0702282
3,227.441,1.9163,3.09107,1.75605,0.2813,0.01789,0.01192,0.00795,2.49246,11.495,2.97668,0.00180916,0.00180916,0.0548092
4,304.514,2.10797,3.42334,1.90622,0.47991,0.0114,0.01621,0.00956,2.57124,14.3597,3.05944,0.00230978,0.00230978,0.0393098
5,378.026,2.09873,3.24436,1.99466,0.07971,0.06368,0.00915,0.00647,2.51312,11.4051,3.04659,0.00270186,0.00270186,0.0237019
6,450.48,2.07877,3.44473,1.95695,0.17122,0.02919,0.00285,0.00125,2.75761,9.71892,3.46604,0.00296403,0.00296403,0.00796403
7,506.247,2.08914,3.36228,1.93064,0.00335,0.0547,0.00494,0.00205,2.48743,13.4863,3.10597,0.00277771,0.00277771,0.00277771
8,572.962,2.04485,3.28643,1.92642,0.22863,0.08324,0.03167,0.01868,2.41486,7.53925,2.68978,0.00240628,0.00240628,0.00240628
9,642.437,2.03834,3.15328,1.92146,0.05478,0.13084,0.0264,0.01742,2.24776,7.02072,2.48296,0.00202,0.00202,0.00202
10,710.21,1.97959,3.1002,1.89334,0.54784,0.07581,0.07068,0.03787,2.08472,6.1023,2.18126,0.00163372,0.00163372,0.00163372
11,770.182,1.90585,2.93388,1.83979,0.38663,0.16634,0.09516,0.0528,1.97573,5.19849,1.96872,0.00126229,0.00126229,0.00126229
12,827.251,1.83758,2.8192,1.79829,0.57957,0.15266,0.15358,0.08881,1.88403,3.51753,1.84195,0.000919971,0.000919971,0.000919971
13,883.398,1.79844,2.77735,1.76925,0.44749,0.23588,0.21631,0.12629,1.79165,2.82936,1.73814,0.000619929,0.000619929,0.000619929
14,938.56,1.79139,2.68715,1.72283,0.56786,0.21893,0.27655,0.15613,1.7246,2.5339,1.67882,0.00037369,0.00037369,0.00037369
15,993.942,1.79135,2.52037,1.72094,0.53794,0.27984,0.30656,0.17801,1.68431,2.33892,1.64354,0.000190719,0.000190719,0.000190719
16,1047.99,1.72055,2.58777,1.67317,0.56375,0.29427,0.3224,0.18888,1.66112,2.27165,1.62956,7.80451e-05,7.80451e-05,7.80451e-05
