epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94149,1.18217,2.5637,1.27766,0.59351,0.83501,0.82573,0.59301,1.29798,1.18824,1.1147,0,0,0.1
2,6.57774,0.95458,1.5766,1.21872,0.76335,0.43333,0.48907,0.38299,1.68464,2.74629,1.48566,4.91567e-05,4.91567e-05,0.0990492
3,9.50135,0.85908,0.60304,1.01029,0.19742,0.45,0.27559,0.18292,2.27134,4.91037,1.9808,9.33683e-05,9.33683e-05,0.0980934
4,12.4673,0.63333,0.51695,1.05416,0.16667,0.16667,0.16583,0.16583,2.61142,5.96171,2.25012,0.000128253,0.000128253,0.0971283
5,15.6457,0.75249,0.63185,0.97233,0,0,0,0,2.65301,6.96181,2.27915,0.0001505,0.0001505,0.0961505
6,18.4985,0.84507,0.58048,1.104,0,0,0,0,2.7646,7.65381,2.41101,0.000158279,0.000158279,0.0951583
7,21.2562,0.91616,0.64094,1.02361,0,0,0,0,2.92242,8.29708,2.60311,0.0001515,0.0001515,0.0941515
8,24.0313,0.63274,0.60285,0.95934,0,0,0,0,2.90208,8.69814,2.7422,0.00013191,0.00013191,0.0931319
9,26.9039,0.86953,0.77772,1.16419,0,0,0,0,2.90208,8.69814,2.7422,0.000103,0.000103,0.092103
10,29.8831,0.77836,0.59331,1.07479,0,0,0,0,3.06988,8.8862,2.99431,6.9742e-05,6.9742e-05,0.0910697
11,32.6021,0.78656,0.61267,0.89683,0,0,0,0,3.06988,8.8862,2.99431,3.81587e-05,3.81587e-05,0.0900382
12,35.4093,0.70125,0.59313,0.98916,0,0,0,0,3.08505,8.91735,2.99546,1.47767e-05,1.47767e-05,0.0890148
